#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,sum_p3d,nor_sum_p3d,obj,note,weight
2576,94.59854014598541,-10.285714285714286,95.95718127318082,-8.94037228677409,95.96878571570535,-11.625348013699178,93.2282945762655,-11.625348013699178,93.23989901879001,-8.940372286774092,3474.807033290236,1.0,S230518h,2576,3474.807033290236
2440,95.29411764705883,-12.857142857142858,96.66380381274351,-11.51107230918726,96.67853377258761,-14.196033912171764,93.90970152153008,-14.196033912171764,93.92443148137419,-11.51107230918726,3421.4754465562282,0.9846519285177372,S230518h,2440,3421.4754465562282
2306,96.71641791044776,-15.428571428571429,98.10013852058842,-14.081758883782792,98.11815196991142,-16.766702744722476,95.31468385098415,-16.766702744722476,95.33269730030715,-14.081758883782792,3371.0870052725904,0.9701508524001591,S230518h,2306,3371.0870052725904
2713,93.91304347826087,-7.714285714285714,95.26351314823133,-6.369662043398886,95.2721138240994,-9.054648519068934,92.55397313242239,-9.054648519068934,92.56257380829047,-6.369662043398886,2373.321477254336,0.6830081367157468,S230518h,2713,2373.321477254336
2173,97.4436090225564,-18.0,98.84450390551652,-16.65242855258158,98.86599929936388,-19.33735073889503,96.02121874574897,-19.33735073889503,96.04271413959633,-16.65242855258158,2367.0169359213733,0.6811937794658154,S230518h,2173,2367.0169359213733
2042,98.93129770992367,-20.571428571428573,100.3526957683977,-19.223077558193822,100.3779176049328,-21.90797373899533,97.48467781491458,-21.90797373899533,97.5098996514497,-19.223077558193822,2136.6933031169183,0.6149099166216777,S230518h,2042,2136.6933031169183
2174,100.15037593984962,-18.0,101.55127082280974,-16.65242855258158,101.57276621665712,-19.337350738895033,98.72798566304219,-19.337350738895033,98.74948105688955,-16.65242855258158,1814.4542227661811,0.5221740963981257,S230518h,2174,1814.4542227661811
2712,91.30434782608695,-7.714285714285714,92.6548174960574,-6.369662043398887,92.66341817192547,-9.054648519068936,89.94527748024845,-9.054648519068934,89.95387815611655,-6.369662043398887,1385.9369712317305,0.39885293138692945,S230518h,2712,1385.9369712317305
2850,91.30434782608695,-5.142857142857143,92.64943536709187,-3.798944634426876,92.6551209885391,-6.4839386640898224,89.95357466363484,-6.483938664089822,89.95926028508207,-3.798944634426875,1365.9415476131235,0.39309853310609205,S230518h,2850,1365.9415476131235
2441,97.94117647058823,-12.857142857142858,99.3108626362729,-11.511072309187258,99.32559259611702,-14.196033912171764,96.55676034505949,-14.196033912171764,96.57149030490359,-11.511072309187258,1214.9642530898232,0.34964941691723067,S230518h,2441,1214.9642530898232
1913,100.46511627906976,-23.142857142857142,101.91057943407249,-21.793701763873017,101.93982541526455,-24.478567109883254,98.99040714287501,-24.478567109883254,99.01965312406706,-21.793701763873017,1152.3863200760456,0.3316403785981953,S230518h,1913,1152.3863200760456
2043,101.67938931297711,-20.571428571428573,103.10078737145112,-19.223077558193822,103.12600920798624,-21.907973738995327,100.232769417968,-21.90797373899533,100.25799125450312,-19.223077558193822,1086.7103915896646,0.3127397812823801,S230518h,2043,1086.7103915896646
2307,99.40298507462687,-15.428571428571429,100.78670568476753,-14.081758883782793,100.80471913409052,-16.76670274472248,98.00125101516325,-16.76670274472248,98.01926446448624,-14.081758883782793,1029.9752966009607,0.29641222857365246,S230518h,2307,1029.9752966009607
1787,102.85714285714286,-25.714285714285715,104.33051680857545,-24.36429655810026,104.36414701134218,-27.049125620102114,101.35013870294357,-27.049125620102117,101.38376890571028,-24.36429655810026,1026.7670984969002,0.29548895482828347,S230518h,1787,1026.7670984969002
3126,88.05755395683454,0.0,89.40005395683455,1.3425,89.40005395683455,-1.3425,86.71505395683458,-1.3425,86.71505395683458,1.3425,1018.4595021887068,0.2930981468701428,S230518h,3126,1018.4595021887068
124,117.0,-74.57142857142857,121.64189052173471,-73.17648171315146,122.49877398436338,-75.85178786522627,111.50122601563675,-75.85178786522627,112.35810947826538,-73.17648171315146,925.6408607149971,0.26638626313545916,S230518h,124,925.6408607149971
2988,90.64748201438849,-2.5714285714285716,91.98992192525625,-1.2282229971460723,91.99275042915768,-3.913221510577802,89.30221359961932,-3.9132215105778028,89.30504210352075,-1.2282229971460725,922.6174678249811,0.2655161736999738,S230518h,2988,922.6174678249811
88,116.47058823529412,-77.14285714285714,121.92625953508959,-75.73800138505088,123.16488871629016,-78.40881732840315,109.7762877542982,-78.40881732840315,111.01491693549875,-75.73800138505088,915.0462612693757,0.2633372882300557,S230518h,88,915.0462612693757
166,117.3913043478261,-72.0,121.43738551650492,-70.61240302358252,122.06400114510907,-73.29041267073946,112.71860755054318,-73.29041267073946,113.34522317914734,-70.61240302358252,908.8497277192669,0.2615540140825295,S230518h,166,908.8497277192669
58,115.71428571428571,-79.71428571428571,122.34425498669867,-78.29528079466864,124.28524931321705,-80.95781243598245,107.14332211535456,-80.95781243598246,109.08431644187291,-78.29528079466864,895.9222147363671,0.2578336598703248,S230518h,58,895.9222147363671
34,114.54545454545455,-82.28571428571429,123.0106955337796,-80.84476493125494,126.466800931875,-83.48932852839799,102.62410815903432,-83.48932852839799,106.08021355712967,-80.84476493125494,884.9690739466529,0.2546815018699587,S230518h,34,884.9690739466529
1663,104.51612903225806,-28.285714285714285,106.02160275031548,-26.934856738758633,106.06005136594268,-29.619643297737973,102.97220669857347,-29.619643297737973,103.01065531420068,-26.934856738758633,868.4794739017766,0.2499360297079369,S230518h,1663,868.4794739017766
214,117.6923076923077,-69.42857142857143,121.2843454735012,-68.04666260702936,121.76144624876434,-70.7264248799515,113.62316913585114,-70.7264248799515,114.10026991111425,-68.04666260702936,861.2924466861405,0.24786770558323556,S230518h,214,861.2924466861405
16,112.5,-84.85714285714286,124.21794712425863,-83.37744362876387,131.96938036478636,-85.97028677897576,93.030619635214,-85.97028677897578,100.78205287574158,-83.37744362876387,840.6607492064945,0.24193019674260502,S230518h,16,840.6607492064945
4,108.0,-87.42857142857143,126.94267867422654,-85.86233945993571,155.5370486908107,-88.18054937333365,60.46295130918988,-88.18054937333366,89.0573213257738,-85.86233945993571,817.1981846964852,0.2351780046682748,S230518h,4,817.1981846964852
