#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,sum_p3d,nor_sum_p3d,obj,note,weight
13985,97.33333333333334,-15.283018867924524,98.04448353085131,-14.824394260728182,98.04759356442366,-15.739389342596445,96.61907310224301,-15.739389342596445,96.62218313581539,-14.824394260728182,1114.2280051277414,1.0,S230518h,13985,1114.2280051277414
13716,97.69516728624535,-16.132075471698105,98.40919615945921,-15.673385202064159,98.41250194505612,-16.58837969145113,96.9778326274346,-16.58837969145113,96.98113841303149,-15.673385202064159,1098.1504192376162,0.9855706499781596,S230518h,13716,1098.1504192376162
13448,98.05970149253731,-16.9811320754717,98.77679053209583,-16.522375595057774,98.78029606440059,-17.437369452738842,97.33910692067406,-17.437369452738842,97.34261245297881,-16.522375595057774,1097.7541604215837,0.9852150146735281,S230518h,13448,1097.7541604215837
14255,96.97416974169742,-14.433962264150942,97.68261931105273,-13.975402806323313,97.6855373138685,-14.890398442613018,96.26280216952635,-14.890398442613018,96.26572017234211,-13.975402806323313,1076.1720076788824,0.9658454129013783,S230518h,14255,1076.1720076788824
14526,96.61764705882354,-13.58490566037736,97.32357084727253,-13.126410873126575,97.32630027845647,-14.041407026855122,95.9089938391906,-14.041407026855124,95.91172327037454,-13.126410873126577,1043.2861585441644,0.9363309428078468,S230518h,14526,1043.2861585441644
13181,98.42696629213484,-17.83018867924528,99.14730068506495,-17.37136540335807,99.15101024444374,-18.286358588851233,97.70292233982593,-18.286358588851236,97.70663189920474,-17.37136540335807,1039.283454443307,0.9327385864118157,S230518h,13181,1039.283454443307
15895,93.91304347826087,-9.339622641509429,94.6088649208934,-8.881445164577427,94.61069488249794,-9.796443382880847,93.21539207402382,-9.796443382880847,93.21722203562837,-8.881445164577427,1028.0383510084016,0.9226463042369335,S230518h,15895,1028.0383510084016
14798,96.26373626373626,-12.735849056603767,96.9673061515331,-12.277418494495377,96.96985021840958,-13.192415129674442,95.55762230906296,-13.192415129674442,95.56016637593945,-12.277418494495375,1011.3547348407204,0.907673052720276,S230518h,14798,1011.3547348407204
16171,93.5740072202166,-8.49056603773585,94.26829725106847,-8.032451031867678,94.26995441191536,-8.94744956396248,92.87806002851785,-8.94744956396248,92.87971718936473,-8.032451031867678,964.7643139343422,0.8658589709596611,S230518h,16171,964.7643139343422
15619,93.91304347826087,-10.18867924528301,94.61055659604064,-9.730439007282735,94.61256143317381,-10.645436879666907,93.21352552334795,-10.645436879666907,93.21553036048111,-9.730439007282735,934.9586452607484,0.8391089085519435,S230518h,15619,934.9586452607484
15071,95.91240875912409,-11.886792452830186,96.61379388403674,-11.428425702940485,96.61615555160235,-12.343422784497243,95.20866196664585,-12.343422784497243,95.21102363421146,-11.428425702940487,895.1043273487215,0.8033403605271092,S230518h,15071,895.1043273487215
12915,98.79699248120302,-18.679245283018858,99.52076137551752,-18.220354589450892,99.5246795413547,-19.135347060918647,98.06930542105135,-19.135347060918647,98.07322358688853,-18.220354589450892,874.1971729392704,0.7845765578644269,S230518h,12915,874.1971729392704
12651,99.54545454545455,-19.528301886792452,100.27285132709272,-19.069343114568056,100.27698299227441,-19.984334828713234,98.8139260986347,-19.984334828713234,98.81805776381637,-19.06934311456806,868.0657013479773,0.7790736701582521,S230518h,12651,868.0657013479773
15345,95.56363636363636,-11.037735849056604,96.26300333746015,-10.579432530195424,96.26518533703951,-11.494430023897557,94.86208739023321,-11.494430023897557,94.86426938981259,-10.579432530195424,825.4329579180328,0.740811534191694,S230518h,15345,825.4329579180328
15344,94.25454545454546,-11.037735849056604,94.95391242836925,-10.579432530195424,94.95609442794861,-11.494430023897557,93.55299648114233,-11.494430023897555,93.5551784807217,-10.579432530195424,815.1855060970105,0.7316146267599449,S230518h,15344,815.1855060970105
12388,99.92395437262357,-20.377358490566035,100.65517695578721,-19.91833093859087,100.6595273424221,-20.8333218505458,99.18838140282506,-20.8333218505458,99.19273178945994,-19.91833093859087,799.2983494263398,0.7173561836068765,S230518h,12388,799.2983494263398
15620,95.21739130434781,-10.18867924528301,95.91490442212758,-9.730439007282735,95.91690925926075,-10.645436879666907,94.5178733494349,-10.645436879666905,94.51987818656805,-9.730439007282735,741.0886640853018,0.6651140167674562,S230518h,15620,741.0886640853018
15070,94.59854014598541,-11.886792452830186,95.29992527089806,-11.428425702940487,95.30228693846365,-12.343422784497239,93.89479335350715,-12.343422784497239,93.89715502107278,-11.428425702940485,694.646688261259,0.6234331618523812,S230518h,15070,694.646688261259
16448,93.5740072202166,-7.641509433962255,94.26692437636146,-7.183456638413367,94.2684106048991,-8.09845545274348,92.8796038355341,-8.09845545274348,92.88109006407174,-7.183456638413367,693.7851660874643,0.6226599608828938,S230518h,16448,693.7851660874643
16447,92.27436823104694,-7.641509433962255,92.9672853871918,-7.183456638413367,92.96877161572944,-8.098455452743478,91.57996484636443,-8.098455452743478,91.58145107490208,-7.183456638413367,690.6278997643576,0.6198263699943353,S230518h,16447,690.6278997643576
16724,91.94244604316546,-6.792452830188674,92.63414732181509,-6.334462013002484,92.63546428537268,-7.249461078522781,91.24942780095826,-7.249461078522781,91.25074476451584,-6.334462013002485,672.860044685217,0.603880033160786,S230518h,16724,672.860044685217
14797,94.94505494505493,-12.735849056603767,95.64862483285177,-12.277418494495377,95.65116889972823,-13.192415129674442,94.23894099038164,-13.19241512967444,94.24148505725812,-12.277418494495375,632.5295135169778,0.5676840921301929,S230518h,14797,632.5295135169778
14525,95.29411764705883,-13.58490566037736,96.00004143550784,-13.126410873126577,96.00277086669176,-14.041407026855126,94.5854644274259,-14.041407026855124,94.58819385860983,-13.126410873126577,565.8724588150259,0.5078605601464407,S230518h,14525,565.8724588150259
