name,ra,dec,d_L,prob_vol,stmass,prob_vol_x_stmass,rank,confidence,obj,note,weight
1301674,93.384,-7.665,282.363,1.2925587696769114e-06,1.2,0.04778621048915341,40,0.5,S230518h,1301674,1.2925587696769114e-06
1310450,94.668,-10.262,231.675,1.2903866623986697e-06,1.0,0.03975359243865549,41,0.5,S230518h,1310450,1.2903866623986697e-06
1301642,92.117,-7.578,258.454,1.289828994245173e-06,0.9,0.035761976323432317,42,0.5,S230518h,1301642,1.289828994245173e-06
106891,86.184,1.319,241.027,1.2863208374864012e-06,0.3,0.011882952617289545,43,0.5,S230518h,106891,1.2863208374864012e-06
33520,86.245,1.344,215.403,1.2863208374864012e-06,3.0,0.11890075805609876,44,0.5,S230518h,33520,1.2863208374864012e-06
51066,85.887,1.886,237.178,1.282220728079316e-06,1.0,0.03950197029715641,45,0.5,S230518h,51066,1.282220728079316e-06
1303304,94.050,-8.666,242.072,1.278199526696646e-06,2.0,0.07876403956305138,46,0.5,S230518h,1303304,1.278199526696646e-06
1303313,94.227,-8.859,218.043,1.267098532375862e-06,3.0,0.11712383062049624,47,0.5,S230518h,1303313,1.267098532375862e-06
1301662,93.007,-8.990,214.261,1.2663340480069987e-06,1.0,0.03901244389334575,48,0.5,S230518h,1301662,1.2663340480069987e-06
1300591,90.098,-2.088,261.897,1.263689245404154e-06,4.0,0.15574753557781137,49,0.5,S230518h,1300591,1.263689245404154e-06
48422,87.342,1.604,249.677,1.2569370215042221e-06,0.9,0.03484980712564281,50,0.5,S230518h,48422,1.2569370215042221e-06
11865,86.320,1.028,257.052,1.2566619058275969e-06,1.2,0.04645887494101538,51,0.5,S230518h,11865,1.2566619058275969e-06
1304352,87.618,-1.121,251.798,1.2494292250314995e-06,2.0,0.07699100425969331,52,0.5,S230518h,1304352,1.2494292250314995e-06
1299786,91.215,-3.459,265.050,1.2482545063522839e-06,3.0,0.1153818716490852,53,0.5,S230518h,1299786,1.2482545063522839e-06
1300630,90.401,-5.132,280.416,1.2481650087524686e-06,3.0,0.11537359840924129,54,0.5,S230518h,1300630,1.2481650087524686e-06
1295865,90.320,-5.288,275.562,1.2481650087524686e-06,3.0,0.11537359840924129,55,0.5,S230518h,1295865,1.2481650087524686e-06
51038,85.175,3.630,217.597,1.24430202839111e-06,1.2,0.046001851598782895,56,0.5,S230518h,51038,1.24430202839111e-06
1303314,94.202,-8.820,278.051,1.2402048172554476e-06,1.2,0.04585035162342514,57,0.5,S230518h,1303314,1.2402048172554476e-06
1295848,90.442,-2.230,274.805,1.2330137207149874e-06,5.0,0.1899602756174081,58,0.5,S230518h,1295848,1.2330137207149874e-06
51037,85.129,2.778,232.034,1.2313551995428994e-06,3.0,0.11381968429748628,59,0.5,S230518h,51037,1.2313551995428994e-06
1301629,91.215,-6.580,232.282,1.2294884161157957e-06,4.0,0.15153212772855387,60,0.5,S230518h,1301629,1.2294884161157957e-06
107273,86.064,1.014,270.386,1.2290333865453592e-06,0.5,0.0189275800859308,61,0.5,S230518h,107273,1.2290333865453592e-06
107257,86.119,0.971,243.255,1.2290333865453592e-06,0.6,0.02271467903385481,62,0.5,S230518h,107257,1.2290333865453592e-06
1205579,95.168,-10.823,232.657,1.2198377350568303e-06,3.0,0.11275499936421816,63,0.5,S230518h,1205579,1.2198377350568303e-06
1303301,93.863,-10.421,220.650,1.2124552673191759e-06,1.0,0.0373522426661698,64,0.5,S230518h,1303301,1.2124552673191759e-06
1262809,95.304,-10.855,232.770,1.2024646667991418e-06,7.0,0.2593582593723677,65,0.5,S230518h,1262809,1.2024646667991418e-06
1209527,95.304,-10.855,232.770,1.2024646667991418e-06,10.0,0.3705151910978208,66,0.5,S230518h,1209527,1.2024646667991418e-06
1310470,95.160,-10.438,243.123,1.1989708496601263e-06,2.0,0.07388139206567453,67,0.5,S230518h,1310470,1.1989708496601263e-06
68863,85.206,3.812,259.688,1.1970297671151162e-06,2.0,0.07376176843714635,68,0.5,S230518h,68863,1.1970297671151162e-06
57089,84.692,4.300,270.613,1.1936198452406747e-06,3.0,0.11033139369101573,69,0.5,S230518h,57089,1.1936198452406747e-06
1307157,95.857,-12.404,242.402,1.1868715315003464e-06,4.0,0.14627940276085796,70,0.5,S230518h,1307157,1.1868715315003464e-06
33521,86.409,0.649,234.984,1.186023441384482e-06,8.0,0.29235765824295024,71,0.5,S230518h,33521,1.186023441384482e-06
1299777,91.048,-3.073,283.082,1.1859158940068425e-06,2.0,0.0730768507186129,72,0.5,S230518h,1299777,1.1859158940068425e-06
1300574,88.697,-2.819,253.169,1.18355467865104e-06,3.0,0.10940096050133416,73,0.5,S230518h,1300574,1.18355467865104e-06
51073,86.009,3.270,250.122,1.1815299169553764e-06,3.0,0.10921378968145111,74,0.5,S230518h,51073,1.1815299169553764e-06
51074,85.944,3.154,240.152,1.1815299169553764e-06,3.0,0.10921378968145111,75,0.5,S230518h,51074,1.1815299169553764e-06
33094,86.246,3.076,225.951,1.16896077079834e-06,3.0,0.10805188633426667,76,0.5,S230518h,33094,1.16896077079834e-06
1301622,90.794,-6.209,261.325,1.164711361934134e-06,2.0,0.07177007318135661,77,0.5,S230518h,1301622,1.164711361934134e-06
