id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,#id,sum_p3d,nor_sum_p3d,obj,note,weight
4195,96.39344262295083,-13.404255319148929,97.41718266120594,-12.40218432970147,97.42573471417687,-14.40216702959538,95.36115053172477,-14.40216702959538,95.3697025846957,-12.402184329701468,4195,2617.6427700404124,1.0,S230518h,4195,2617.6427700404124
4378,95.35135135135135,-11.489361702127665,96.36818768997551,-10.487594254007638,96.37542821373479,-12.487581668943013,94.32727448896792,-12.487581668943013,94.3345150127272,-10.487594254007638,4378,2493.7713089391896,0.9526782406984775,S230518h,4378,2493.7713089391896
4013,96.92307692307692,-15.319148936170206,97.95497516369265,-14.316769909305533,97.96488982686677,-16.31674705168471,95.88126401928706,-16.31674705168471,95.89117868246119,-14.316769909305533,4013,2398.2639396495842,0.916192219617713,S230518h,4013,2398.2639396495842
3833,98.0,-17.234042553191482,99.04135965202796,-16.231350187414588,99.05269736114572,-18.23132087512961,96.94730263885428,-18.23132087512961,96.95864034797204,-16.231350187414588,3833,2371.674005395157,0.9060342505629758,S230518h,3833,2371.674005395157
3655,99.10112359550561,-19.14893617021276,100.15330551098288,-18.145924306497378,100.16613699113819,-20.145887577182837,98.03611019987305,-20.145887577182837,98.04894168002836,-18.145924306497374,3655,1979.2274537167427,0.7561106031615561,S230518h,3655,1979.2274537167427
4748,92.90322580645162,-7.6595744680851094,93.90986386084647,-6.658403628051218,93.91460084399293,-8.658398118510359,91.8918507689103,-8.658398118510357,91.89658775205675,-6.658403628051217,4748,1940.0239588545085,0.7411339626088694,S230518h,4748,1940.0239588545085
4563,94.83870967741936,-9.574468085106387,95.84985631792706,-8.573000444438936,95.85582780643762,-10.572991777259913,93.8215915484011,-10.572991777259913,93.82756303691166,-8.573000444438936,4563,1919.5478682243452,0.7333116230350677,S230518h,4563,1919.5478682243452
3479,100.22727272727273,-21.063829787234038,101.29170522865155,-20.06049134683571,101.30611262366928,-22.060446160912697,99.14843283087619,-22.060446160912697,99.16284022589392,-20.06049134683571,3479,1463.3416765978454,0.5590303204647186,S230518h,3479,1463.3416765978454
4562,92.90322580645162,-9.574468085106387,93.9143724469593,-8.573000444438936,93.92034393546987,-10.572991777259913,91.88610767743334,-10.572991777259912,91.89207916594391,-8.573000444438936,4562,1343.4086923403324,0.5132131502877271,S230518h,4562,1343.4086923403324
4934,92.40641711229947,-5.7446808510638325,93.40970194297502,-4.743804504055099,93.41323148213581,-6.7438014211578725,91.39960274246312,-6.7438014211578725,91.40313228162391,-4.743804504055098,4934,1001.6114276334779,0.38263870039761555,S230518h,4934,1001.6114276334779
4014,98.90109890109889,-15.319148936170206,99.93299714171462,-14.316769909305531,99.94291180488875,-16.31674705168471,97.85928599730904,-16.31674705168471,97.86920066048317,-14.316769909305533,4014,792.9899746288088,0.3029404866488204,S230518h,4014,792.9899746288088
3305,101.37931034482759,-22.978723404255316,102.45750012893738,-21.975050315074856,102.47357836056835,-23.974995541961256,100.28504232908683,-23.97499554196126,100.3011205607178,-21.97505031507486,3305,757.0442584897979,0.2892083928159954,S230518h,3305,757.0442584897979
4194,94.42622950819671,-13.404255319148929,95.44996954645184,-12.402184329701472,95.45852159942277,-14.402167029595384,93.39393741697067,-14.402167029595384,93.4024894699416,-12.40218432970147,4194,729.0582643305451,0.27851709663167273,S230518h,4194,729.0582643305451
4377,93.4054054054054,-11.489361702127665,94.42224174402958,-10.487594254007638,94.42948226778886,-12.487581668943013,92.38132854302197,-12.487581668943015,92.38856906678124,-10.48759425400764,4377,727.121678803643,0.27777727622949,S230518h,4377,727.121678803643
5120,90.4812834224599,-3.8297872340425547,91.4823514190812,-2.8292037505741257,91.48469348879112,-4.829202385507474,89.47787335612868,-4.8292023855074735,89.48021542583861,-2.8292037505741257,5120,708.4341514552201,0.2706382091412278,S230518h,5120,708.4341514552201
3834,100.0,-17.234042553191482,101.04135965202796,-16.231350187414588,101.05269736114572,-18.23132087512961,98.94730263885428,-18.23132087512961,98.95864034797204,-16.231350187414584,3834,696.1303440580572,0.26593787052436874,S230518h,3834,696.1303440580572
3133,102.55813953488374,-24.893617021276594,103.65168387256313,-23.889600131066324,103.66954227351279,-25.88953453318573,101.4467367962547,-25.889534533185735,101.46459519720435,-23.889600131066327,3133,658.0579638063273,0.2513933418791778,S230518h,3133,658.0579638063273
4933,90.4812834224599,-5.7446808510638325,91.48456825313545,-4.743804504055099,91.48809779229624,-6.7438014211578725,89.47446905262356,-6.7438014211578725,89.47799859178436,-4.743804504055098,4933,638.2374157441417,0.24382143470794843,S230518h,4933,638.2374157441417
2963,102.24852071005917,-26.80851063829787,103.35912120251004,-25.804139612613287,103.37888547867969,-27.8040618266975,101.11815594143863,-27.8040618266975,101.13792021760828,-25.804139612613287,2963,605.5260796489179,0.2313249487589819,S230518h,2963,605.5260796489179
2797,104.09638554216868,-28.72340425531915,105.22586374781439,-27.718667457637558,105.24767833966094,-29.718575972693287,102.94509274467643,-29.718575972693287,102.96690733652297,-27.71866745763756,2797,595.0448200714644,0.22732086550613545,S230518h,2797,595.0448200714644
5494,88.08510638297872,0.0,89.08510638297872,1.0,89.08510638297872,-1.0,87.08510638297872,-0.9999999999999997,87.08510638297872,0.9999999999999997,5494,591.7677035832156,0.22606893131337383,S230518h,5494,591.7677035832156
5307,90.0,-1.9148936170212774,90.9999750925089,-0.9146020309895652,91.00114285835392,-2.914601690485505,88.99885714164608,-2.914601690485505,89.0000249074911,-0.9146020309895652,5307,591.473982978411,0.22595672325803245,S230518h,5307,591.473982978411
5306,88.08510638297872,-1.9148936170212774,89.08508147548763,-0.9146020309895654,89.08624924133264,-2.9146016904855045,87.0839635246248,-2.9146016904855045,87.08513129046982,-0.9146020309895652,5306,561.1133167838367,0.21435824750646704,S230518h,5306,561.1133167838367
402,115.93220520019531,-72.0,119.00064203327051,-70.97452850996747,119.34831110971305,-72.97164107288127,112.51609929067757,-72.97164107288127,112.8637683671201,-70.97452850996747,402,559.2769574990912,0.2136567158437959,S230518h,402,559.2769574990912
459,115.47169494628906,-74.0,118.88774159632509,-72.97133701989162,119.32940029670921,-74.96762885931668,111.61398959586889,-74.96762885931668,112.05564829625303,-72.97133701989162,459,554.5718777696469,0.21185926671005806,S230518h,459,554.5718777696469
339,116.30769348144531,-70.0,119.09575778358301,-68.97713342301712,119.37617759882113,-70.97483266747543,113.23920936406952,-70.97483266747543,113.51962917930761,-68.97713342301712,339,549.7369486795886,0.21001221212132837,S230518h,339,549.7369486795886
555,114.14634704589844,-78.0,118.5825951002991,-76.9621151896699,119.3724537305251,-78.95536183558299,108.9202403612718,-78.95536183558299,109.71009899149776,-76.9621151896699,555,539.0914130759505,0.20594537163206109,S230518h,555,539.0914130759505
654,114.54545593261719,-84.0,122.6949643865315,-82.92915504420262,125.86915975592417,-84.90140867067234,103.22175210931019,-84.90140867067234,106.39594747870287,-82.92915504420262,654,538.4954405214747,0.20571769635058385,S230518h,654,538.4954405214747
594,113.14285278320312,-80.0,118.36881733065673,-78.95505850753867,119.50876365042757,-80.94523780272377,106.77694191597868,-80.94523780272377,107.91688823574955,-78.95505850753867,594,537.7736204967222,0.2054419444286585,S230518h,594,537.7736204967222
5681,86.17021276595744,1.9148936170212774,87.17135562431136,2.9146016904855045,87.17018785846635,0.9146020309895654,85.17023767344854,0.9146020309895652,85.16906990760353,2.9146016904855045,5681,534.1429524762636,0.20405494538432273,S230518h,5681,534.1429524762636
270,116.61972045898438,-68.0,119.17717921644874,-66.9793046242677,119.40782331264816,-68.97743765666995,113.83161760532059,-68.97743765666995,114.06226170152004,-66.97930462426771,270,529.1765379335253,0.20215766031564178,S230518h,270,529.1765379335253
627,111.7241439819336,-82.0,118.0898429350261,-80.9449350865614,119.87400055051897,-82.92945656234664,103.57428741334822,-82.92945656234663,105.3584450288411,-80.9449350865614,627,528.5179047172807,0.2019060472140441,S230518h,627,528.5179047172807
510,114.89361572265625,-76.0,118.75124476719266,-74.96732495523972,119.32996552334225,-76.96241887129821,110.45726592197023,-76.96241887129821,111.03598667811983,-74.96732495523972,510,526.8562826715834,0.20127126921273888,S230518h,510,526.8562826715834
742,104.81012725830078,-30.0,105.95326983550937,-28.995012183528004,105.97654207329022,-30.994910641811856,103.64371244331136,-30.994910641811856,103.66698468109219,-28.99501218352801,742,516.2998768625574,0.1972384783637175,S230518h,742,516.2998768625574
688,108.0,-88.0,126.44105914161098,-86.83777051177923,153.004361550635,-88.58603771968255,62.99563844936499,-88.58603771968255,89.55894085838902,-86.83777051177923,688,509.3163867379108,0.19457062383269652,S230518h,688,509.3163867379108
674,112.5,-86.0,123.8230335451801,-84.90111000549426,130.94280330930516,-86.83805946347707,94.05719669069485,-86.83805946347707,101.17696645481993,-84.90111000549426,674,505.0022960198219,0.1929225415322907,S230518h,674,505.0022960198219
5868,84.70588235294116,3.8297872340425547,85.70929241927239,4.8292023855074735,85.70695034956246,2.829203750574125,83.70481435631987,2.829203750574125,83.70247228660995,4.8292023855074735,5868,499.9077837464448,0.19097632017172725,S230518h,5868,499.9077837464448
899,104.51612854003906,-32.0,105.68253963021026,-30.994606110718944,105.70826123981956,-32.99448716574666,103.32399584025856,-32.99448716574666,103.34971744986785,-30.994606110718944,899,493.4392962792767,0.18850520855130234,S230518h,899,493.4392962792767
195,116.88311004638672,-66.0,119.2478343001517,-64.98114619980839,119.44060079143377,-66.97960891508912,114.3256193013397,-66.97960891508912,114.51838579262177,-64.98114619980839,195,477.9905560523641,0.18260343295238282,S230518h,195,477.9905560523641
2964,104.37869822485207,-26.80851063829787,105.48929871730297,-25.80413961261329,105.50906299347261,-27.804061826697506,103.24833345623155,-27.804061826697502,103.26809773240119,-25.80413961261329,2964,476.4284558744511,0.18200667460330952,S230518h,2964,476.4284558744511
3656,101.12359550561798,-19.14893617021276,102.17577742109525,-18.145924306497378,102.18860890125056,-20.145887577182837,100.05858210998542,-20.145887577182837,100.07141359014074,-18.145924306497374,3656,475.176625886333,0.18152844663330323,S230518h,3656,475.176625886333
28,114.54545593261719,-62.0,116.60711632131778,-60.98411360724187,116.74696070853403,-62.98303584617719,112.34395115670036,-62.98303584617719,112.4837955439166,-60.98411360724187,28,460.63107476521776,0.17597171013449872,S230518h,28,460.63107476521776
3132,100.46511627906976,-24.893617021276594,101.55866061674917,-23.889600131066324,101.57651901769881,-25.88953453318573,99.35371354044072,-25.88953453318573,99.37157194139037,-23.889600131066324,3132,459.1075186921751,0.17538967652377074,S230518h,3132,459.1075186921751
5119,88.55614973262031,-3.8297872340425547,89.55721772924161,-2.829203750574125,89.55955979895154,-4.829202385507473,87.5527396662891,-4.8292023855074735,87.55508173599902,-2.8292037505741257,5119,456.7970133385074,0.1745070101110302,S230518h,5119,456.7970133385074
1204,107.02702331542969,-36.0,108.2475489467154,-34.9937395182972,108.27889860340053,-36.9935787152552,105.77514802745884,-36.9935787152552,105.80649768414396,-34.9937395182972,1204,452.6153171038655,0.17290950556132523,S230518h,1204,452.6153171038655
114,114.14634704589844,-64.0,116.34782887497116,-62.98273147678502,116.5110982284099,-64.98145053462832,111.78159586338698,-64.98145053462832,111.94486521682572,-62.98273147678502,114,449.2024002039474,0.17160569247461233,S230518h,114,449.2024002039474
4749,94.83870967741936,-7.6595744680851094,95.84534773181423,-6.658403628051217,95.85008471496067,-8.658398118510359,93.82733463987805,-8.658398118510357,93.83207162302449,-6.658403628051217,4749,444.7130886852174,0.16989067178114287,S230518h,4749,444.7130886852174
4747,90.96774193548387,-7.6595744680851094,91.97437998987874,-6.658403628051217,91.9791169730252,-8.658398118510357,89.95636689794256,-8.658398118510357,89.96110388108902,-6.658403628051217,4747,444.7130653244773,0.1698906628568006,S230518h,4747,444.7130653244773
695,0.0,-90.0,44.99563645534475,-88.58582233904788,135.00436354465506,-88.5858223390479,224.99563645534494,-88.5858223390479,315.00436354465523,-88.58582233904788,695,432.8413996224347,0.16535541234900908,S230518h,695,432.8413996224347
6054,82.7807486631016,5.7446808510638325,83.78756303293795,6.743801421157873,83.78403349377716,4.743804504055099,81.77746383242605,4.743804504055099,81.77393429326526,6.743801421157873,6054,429.3094063015206,0.1640061093190698,S230518h,6054,429.3094063015206
694,324.0,-88.0,342.441059141611,-86.83777051177923,9.00436155063499,-88.58603771968255,278.995638449365,-88.58603771968255,305.558940858389,-86.83777051177923,694,429.13643786415247,0.16394003138080115,S230518h,694,429.13643786415247
687,72.0,-88.0,90.44105914161098,-86.83777051177923,117.004361550635,-88.58603771968255,26.995638449365003,-88.58603771968255,53.55894085838903,-86.83777051177923,687,426.87761259400224,0.16307710795366165,S230518h,687,426.87761259400224
1054,107.2847671508789,-34.0,108.47689573618018,-32.99418263746754,108.50529732411214,-34.99404404339809,106.06423697764569,-34.994044043398084,106.09263856557763,-32.99418263746754,1054,420.47985855693696,0.16063301813732414,S230518h,1054,420.47985855693696
2686,116.1290283203125,-60.0,118.06978251291292,-58.98533206457512,118.19070846466232,-60.9844180042816,114.06734817596268,-60.9844180042816,114.18827412771208,-58.98533206457512,2686,414.22861552235105,0.15824489890801868,S230518h,2686,414.22861552235105
3478,98.18181818181817,-21.063829787234038,99.24625068319699,-20.06049134683571,99.26065807821473,-22.060446160912697,97.10297828542163,-22.060446160912697,97.11738568043937,-20.06049134683571,3478,412.7813653392973,0.15769201590976623,S230518h,3478,412.7813653392973
3304,99.31034482758619,-22.978723404255316,100.38853461169599,-21.97505031507486,100.40461284332696,-23.974995541961256,98.21607681184544,-23.974995541961256,98.23215504347641,-21.97505031507486,3304,412.57710141521466,0.1576139823727151,S230518h,3304,412.57710141521466
5493,86.17021276595744,0.0,87.17021276595744,1.0,87.17021276595744,-1.0,85.17021276595744,-1.0,85.17021276595744,1.0,5493,408.0361669149751,0.15587924050793062,S230518h,5493,408.0361669149751
628,124.137939453125,-82.0,130.5036384062175,-80.9449350865614,132.2877960217104,-82.92945656234663,115.98808288453962,-82.92945656234663,117.77224050003251,-80.9449350865614,628,404.9981176793762,0.1547186355276139,S230518h,628,404.9981176793762
4379,97.2972972972973,-11.489361702127665,98.3141336359215,-10.48759425400764,98.32137415968076,-12.487581668943013,96.27322043491387,-12.487581668943013,96.28046095867315,-10.48759425400764,4379,404.98479633394965,0.15471354646596688,S230518h,4379,404.98479633394965
2266,113.68421173095703,-52.0,115.27273435502397,-50.9890760572067,115.34530774929748,-52.988576955412356,112.02311571261659,-52.988576955412356,112.09568910689009,-50.989076057206695,2266,403.7086669847298,0.15422603557875744,S230518h,2266,403.7086669847298
1351,107.5,-38.0,108.75187027453589,-36.993274193749315,108.78648071109555,-38.99308824443834,106.21351928890445,-38.99308824443833,106.24812972546412,-36.993274193749315,1351,401.66225155577365,0.15344425761715857,S230518h,1351,401.66225155577365
595,123.42857360839844,-80.0,128.65453815585204,-78.95505850753867,129.79448447562288,-80.94523780272378,117.06266274117401,-80.94523780272378,118.20260906094487,-78.95505850753867,595,395.49638219312675,0.15108875310247963,S230518h,595,395.49638219312675
2486,114.23077392578125,-56.0,115.9735878008583,-54.98739087731716,116.06613857098333,-56.986721220412235,112.39540928057916,-56.986721220412235,112.48796005070422,-54.98739087731716,2486,393.76474239862273,0.15042722670387282,S230518h,2486,393.76474239862273
900,106.83870697021484,-32.0,108.00511806038604,-30.994606110718944,108.03083966999534,-32.99448716574666,105.64657427043434,-32.99448716574666,105.67229588004363,-30.994606110718944,900,388.2584952448195,0.14832371310880796,S230518h,900,388.2584952448195
1053,104.9006576538086,-34.0,106.09278623910987,-32.99418263746754,106.12118782704181,-34.99404404339809,103.68012748057536,-34.994044043398084,103.70852906850732,-32.99418263746754,1053,383.3666476546623,0.14645491433834712,S230518h,1053,383.3666476546623
556,122.92683410644531,-78.0,127.36308216084598,-76.96211518966992,128.15294079107198,-78.95536183558299,117.70072742181866,-78.95536183558299,118.49058605204462,-76.9621151896699,556,382.7171426564041,0.14620678842686222,S230518h,556,382.7171426564041
2589,116.36363983154297,-58.0,118.19898946244466,-56.986416782464765,118.30441118209646,-58.98563648406067,114.42286848098948,-58.98563648406067,114.52829020064128,-56.986416782464765,2589,379.9722266909923,0.14515816712649682,S230518h,2589,379.9722266909923
683,315.0,-86.0,326.32303354518007,-84.90111000549426,333.4428033093052,-86.83805946347707,296.5571966906948,-86.83805946347707,303.67696645481993,-84.90111000549426,683,371.45905881165487,0.14190594036096074,S230518h,683,371.45905881165487
1494,108.0,-40.0,109.28647517473219,-38.99278372700721,109.32471262654192,-40.99256923799098,106.67528737345808,-40.99256923799097,106.71352482526781,-38.99278372700721,1494,364.8550819752567,0.13938306867198075,S230518h,1494,364.8550819752567
4196,98.36065573770492,-13.404255319148929,99.38439577596004,-12.40218432970147,99.39294782893097,-14.40216702959538,97.32836364647888,-14.40216702959538,97.3369156994498,-12.402184329701472,4196,364.13848661252837,0.139109312691627,S230518h,4196,364.13848661252837
5121,92.40641711229947,-3.8297872340425547,93.40748510892077,-2.8292037505741257,93.40982717863068,-4.8292023855074735,91.40300704596825,-4.829202385507473,91.40534911567816,-2.8292037505741257,5121,360.2387165197754,0.13761951044000317,S230518h,5121,360.2387165197754
2148,111.93277740478516,-50.0,113.45658899877279,-48.98981322206358,113.52131045207562,-50.9893805343552,110.3442443574947,-50.9893805343552,110.40896581079753,-48.98981322206358,2148,358.5317232503605,0.13696739958326146,S230518h,2148,358.5317232503605
1769,111.81818389892578,-44.0,113.18517905216743,-42.99171324073946,113.2320423070292,-44.991429148151695,110.40432549082236,-44.9914291481517,110.45118874568416,-42.99171324073946,1769,357.8585627981806,0.13671023674198898,S230518h,1769,357.8585627981806
115,118.53659057617188,-64.0,120.73807240524458,-62.98273147678502,120.90134175868333,-64.98145053462832,116.1718393936604,-64.98145053462832,116.33510874709916,-62.98273147678502,115,357.59440570203526,0.1366093226298081,S230518h,115,357.59440570203526
511,122.55319213867188,-76.0,126.41082118320828,-74.96732495523972,126.98954193935788,-76.96241887129821,118.11684233798586,-76.96241887129821,118.69556309413545,-74.96732495523972,511,350.6499540869409,0.1339563817111406,S230518h,511,350.6499540869409
2026,111.21951293945312,-48.0,112.6853935153397,-46.9904934772408,112.74333384803079,-48.99011770855457,109.69569203087548,-48.99011770855457,109.75363236356657,-46.990493477240804,2026,344.30042153400075,0.1315307136155501,S230518h,2026,344.30042153400075
3654,97.07865168539325,-19.14893617021276,98.1308336008705,-18.145924306497378,98.14366508102582,-20.145887577182837,96.01363828976068,-20.145887577182837,96.02646976991599,-18.145924306497378,3654,340.66101521869837,0.1301403763407484,S230518h,3654,340.66101521869837
2378,112.2935791015625,-54.0,113.95466340781223,-52.98827248920169,114.03640620046058,-54.98769533062323,110.55075200266445,-54.98769533062323,110.63249479531278,-52.9882724892017,2378,340.3503446529892,0.13002169300883432,S230518h,2378,340.3503446529892
3480,102.27272727272728,-21.063829787234038,103.3371597741061,-20.060491346835708,103.35156716912383,-22.060446160912697,101.19388737633072,-22.060446160912697,101.20829477134846,-20.060491346835708,3480,339.60118806524054,0.12973549788842945,S230518h,3480,339.60118806524054
5682,88.08510638297872,1.9148936170212774,89.08624924133264,2.9146016904855045,89.08508147548763,0.9146020309895654,87.08513129046982,0.9146020309895652,87.0839635246248,2.9146016904855045,5682,337.2379661770962,0.1288326925418818,S230518h,5682,337.2379661770962
666,310.9090881347656,-84.0,319.05859658867996,-82.92915504420262,322.23279195807265,-84.90140867067234,299.58538431145865,-84.90140867067234,302.7595796808513,-82.92915504420262,666,337.12239007924063,0.1287885398029449,S230518h,666,337.12239007924063
460,122.26415252685547,-74.0,125.6801991768915,-72.97133701989162,126.12185787727563,-74.96762885931668,118.40644717643532,-74.96762885931668,118.84810587681946,-72.97133701989162,460,334.3850769205647,0.1277428229503609,S230518h,460,334.3850769205647
