#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,sum_p3d,nor_sum_p3d,obj,note,weight
25959,95.67567567567568,-12.290748898678414,96.09668034042757,-11.878426680871906,96.09800153003484,-12.702425669697472,95.25334982131655,-12.702425669697472,95.2546710109238,-11.878426680871906,836.8545597730206,1.0,S230518h,25959,836.8545597730206
26403,95.24663677130044,-11.497797356828187,95.66645957568966,-11.085496484628662,95.66768952318037,-11.909495603172155,94.82558401942056,-11.909495603172155,94.82681396691126,-11.085496484628663,762.1491177725975,0.9107306746100715,S230518h,26403,762.1491177725975
27743,93.80846325167037,-9.11894273127753,94.22525572534734,-8.706705239018996,94.22621897755951,-9.530704690151103,93.39070752578128,-9.530704690151103,93.39167077799344,-8.706705239018996,721.5386630486538,0.8622031804957317,S230518h,27743,721.5386630486538
25516,95.89164785553048,-13.083700440528629,96.31392215791342,-12.671356752470945,96.3153359272574,-13.495355601811843,95.4679597838036,-13.495355601811845,95.46937355314758,-12.671356752470947,705.4408467873033,0.8429670825700459,S230518h,25516,705.4408467873033
23760,98.03203661327233,-16.255506607929515,98.46029447080934,-15.843075601114815,98.46209408007257,-16.66707378996048,97.6019791464721,-16.66707378996048,97.60377875573532,-15.843075601114814,703.2321121959579,0.8403277534709198,S230518h,23760,703.2321121959579
27295,94.01785714285714,-9.911894273127745,94.43557489997887,-9.499635754784482,94.43662597524548,-10.32363510429469,93.59908831046883,-10.32363510429469,93.60013938573543,-9.49963575478448,695.4841713719164,0.8310693456226755,S230518h,27295,695.4841713719164
23325,98.48275862068964,-17.04845814977973,98.91274634326028,-16.636004903881325,98.91464686469263,-17.460002900567098,98.05087037668669,-17.460002900567098,98.05277089811904,-16.636004903881325,683.9122058987115,0.8172414165780593,S230518h,23325,683.9122058987115
26849,95.03355704697987,-10.704845814977972,95.4522845801529,-10.29256617293174,95.45342452215931,-11.116565411638508,94.61368957180045,-11.116565411638506,94.61482951380685,-10.29256617293174,680.3324450325875,0.8129637785771444,S230518h,26849,680.3324450325875
24196,96.98630136986301,-15.462555066079286,97.41292460655136,-15.05014612433696,97.41462520333765,-15.874144494227743,96.5579775363884,-15.874144494227744,96.55967813317471,-15.05014612433696,664.4638126376537,0.7940015440889463,S230518h,24196,664.4638126376537
25074,96.10859728506787,-13.876651982378856,96.53223028759027,-13.46428669003154,96.53373807866562,-14.288285389890966,95.68345649147015,-14.288285389890966,95.68496428254551,-13.46428669003154,657.6408242505294,0.7858484088667699,S230518h,25074,657.6408242505294
24197,97.8082191780822,-15.462555066079286,98.23484241477054,-15.05014612433696,98.23654301155683,-15.874144494227744,97.37989534460759,-15.874144494227744,97.38159594139388,-15.05014612433696,656.5343406950964,0.7845262154909781,S230518h,24197,656.5343406950964
22892,98.93764434180139,-17.841409691629956,99.36945899930885,-17.42893402194698,99.37146245883831,-18.252931815023988,98.50382622476448,-18.252931815023988,98.50582968429394,-17.42893402194698,637.7819039443427,0.7621179767692582,S230518h,22892,637.7819039443427
25075,96.92307692307692,-13.876651982378856,97.34670992559931,-13.464286690031539,97.34821771667467,-14.288285389890964,96.4979361294792,-14.288285389890964,96.49944392055454,-13.46428669003154,633.0322412588037,0.756442363689218,S230518h,25075,633.0322412588037
24634,96.54545454545455,-14.669603524229071,96.97053669623637,-14.257216483938352,96.97214005910132,-15.081215024070614,96.11876903180779,-15.081215024070614,96.12037239467274,-14.257216483938352,607.7340072410468,0.7262122194875559,S230518h,24634,607.7340072410468
24635,97.36363636363636,-14.669603524229071,97.78871851441819,-14.257216483938352,97.79032187728315,-15.081215024070618,96.93695084998961,-15.081215024070618,96.93855421285456,-14.257216483938354,603.1326555016146,0.720713830686663,S230518h,24635,603.1326555016146
28192,93.60000000000001,-8.325991189427315,94.01595076923502,-7.913774634311461,94.01682714958936,-8.737774178046251,93.18317285041067,-8.73777417804625,93.184049230765,-7.913774634311463,599.1519874858707,0.7159571283788885,S230518h,28192,599.1519874858707
23324,97.6551724137931,-17.04845814977973,98.08516013636374,-16.63600490388133,98.08706065779609,-17.460002900567098,97.22328416979015,-17.4600029005671,97.2251846912225,-16.63600490388133,598.6560001651679,0.7153644479484476,S230518h,23324,598.6560001651679
28641,92.59423503325942,-7.533039647577087,93.00942685017439,-7.1208439491969155,93.0102172197028,-7.944843576662135,92.17825284681608,-7.944843576662135,92.17904321634447,-7.1208439491969155,583.3093633146653,0.6970259724376431,S230518h,28641,583.3093633146653
22891,98.10623556581986,-17.841409691629956,98.53805022332733,-17.428934021946972,98.5400536828568,-18.252931815023985,97.67241744878297,-18.252931815023985,97.67442090831243,-17.428934021946972,577.9754214615443,0.6906521745168099,S230518h,22891,577.9754214615443
23759,97.20823798627003,-16.255506607929515,97.63649584380707,-15.843075601114814,97.63829545307028,-16.66707378996048,96.77818051946981,-16.667073789960476,96.77998012873304,-15.843075601114814,542.4331757999963,0.6481809407205955,S230518h,23759,542.4331757999963
22461,99.39675174013921,-18.63436123348017,99.83049234957993,-18.22186294430115,99.83260090488228,-19.045860521962176,98.96090257539616,-19.045860521962176,98.96301113069852,-18.22186294430115,533.9527396423384,0.6380472370099316,S230518h,22461,533.9527396423384
22460,98.5614849187935,-18.63436123348017,98.99522552823422,-18.22186294430115,98.99733408353657,-19.045860521962176,98.12563575405045,-19.045860521962176,98.1277443093528,-18.221862944301154,532.8760168280597,0.6367606062546773,S230518h,22460,532.8760168280597
26848,94.2281879194631,-10.704845814977972,94.64691545263614,-10.29256617293174,94.64805539464254,-11.116565411638508,93.80832044428368,-11.116565411638508,93.80946038629008,-10.292566172931743,531.8031880948085,0.6354786287345427,S230518h,26848,531.8031880948085
25517,96.70428893905192,-13.083700440528629,97.12656324143487,-12.671356752470947,97.12797701077884,-13.495355601811843,96.28060086732503,-13.495355601811843,96.28201463666902,-12.671356752470947,524.5221155825203,0.6267781055345938,S230518h,25517,524.5221155825203
21604,99.4847775175644,-20.220264317180614,99.92267550930899,-19.80772015608625,99.92500128641896,-20.631717265930423,99.04455374870987,-20.631717265930423,99.04687952581983,-19.80772015608625,523.6190119683972,0.6256989411761322,S230518h,21604,523.6190119683972
29092,92.59423503325942,-6.740088105726872,93.0087499078127,-6.327913192083608,93.00945503947084,-7.1519128945390875,92.17901502704804,-7.151912894539087,92.17972015870617,-6.327913192083608,498.6775528232108,0.5958951253829181,S230518h,29092,498.6775528232108
27296,94.82142857142857,-9.911894273127745,95.23914632855029,-9.499635754784482,95.24019740381691,-10.323635104294688,94.40265973904026,-10.323635104294688,94.40371081430686,-9.49963575478448,492.1720533764023,0.5881213738142189,S230518h,27296,492.1720533764023
21179,99.95294117647059,-21.01321585903083,100.39307514946482,-20.60064842167404,100.39551334780461,-21.42464527826614,99.5103690051366,-21.424645278266137,99.51280720347638,-20.60064842167404,479.69582367918144,0.5732128935394568,S230518h,21179,479.69582367918144
22031,99.02097902097903,-19.427312775330385,99.45674667311354,-19.0147916595889,99.4589626195663,-19.83878900964271,98.58299542239179,-19.83878900964271,98.58521136884454,-19.0147916595889,473.87831994173337,0.5662612629729389,S230518h,22031,473.87831994173337
25958,94.86486486486487,-12.290748898678414,95.28586952961678,-11.878426680871906,95.28719071922403,-12.702425669697472,94.44253901050574,-12.702425669697472,94.44386020011301,-11.878426680871906,470.79612528803455,0.5625781921003432,S230518h,25958,470.79612528803455
28642,93.39246119733924,-7.533039647577087,93.80765301425421,-7.1208439491969155,93.80844338378262,-7.944843576662135,92.9764790108959,-7.944843576662135,92.97726938042429,-7.1208439491969155,464.5950810258898,0.555168249488778,S230518h,28642,464.5950810258898
28191,92.8,-8.325991189427315,93.21595076923502,-7.913774634311463,93.21682714958936,-8.737774178046251,92.38317285041067,-8.737774178046251,92.384049230765,-7.913774634311461,458.81299068484384,0.5482589361875346,S230518h,28191,458.81299068484384
22032,99.86013986013987,-19.427312775330385,100.29590751227438,-19.0147916595889,100.29812345872713,-19.83878900964271,99.42215626155263,-19.83878900964271,99.42437220800538,-19.0147916595889,434.01605813372237,0.5186278225590839,S230518h,22032,434.01605813372237
