#id,ra,dec
0,0.0,-30.0
1,0.9243955159995099,-30.0
2,1.8487910319990197,-30.0
3,2.7731865479985296,-30.0
4,3.6975820639980395,-30.0
5,4.62197757999755,-30.0
6,5.546373095997059,-30.0
7,6.470768611996569,-30.0
8,7.395164127996079,-30.0
9,8.31955964399559,-30.0
10,9.2439551599951,-30.0
11,10.168350675994608,-30.0
12,11.092746191994118,-30.0
13,12.017141707993629,-30.0
14,12.941537223993137,-30.0
15,13.865932739992648,-30.0
16,14.790328255992158,-30.0
17,15.714723771991668,-30.0
18,16.63911928799118,-30.0
19,17.56351480399069,-30.0
20,18.4879103199902,-30.0
21,19.412305835989706,-30.0
22,20.336701351989216,-30.0
23,21.261096867988726,-30.0
24,22.185492383988237,-30.0
25,23.109887899987747,-30.0
26,24.034283415987257,-30.0
27,24.958678931986768,-30.0
28,25.883074447986274,-30.0
29,26.807469963985785,-30.0
30,27.731865479985295,-30.0
31,28.656260995984805,-30.0
32,29.580656511984316,-30.0
33,30.505052027983826,-30.0
34,31.429447543983336,-30.0
35,32.35384305998284,-30.0
36,33.27823857598236,-30.0
37,34.202634091981864,-30.0
38,35.12702960798138,-30.0
39,36.051425123980884,-30.0
40,36.9758206399804,-30.0
41,37.900216155979905,-30.0
42,38.82461167197941,-30.0
43,39.749007187978926,-30.0
44,40.67340270397843,-30.0
45,41.597798219977946,-30.0
46,42.52219373597745,-30.0
47,43.44658925197697,-30.0
48,44.37098476797647,-30.0
49,45.29538028397598,-30.0
50,46.219775799975494,-30.0
51,47.144171315975,-30.0
52,48.068566831974515,-30.0
53,48.99296234797402,-30.0
54,49.917357863973535,-30.0
55,50.84175337997304,-30.0
56,51.76614889597255,-30.0
57,52.69054441197206,-30.0
58,53.61493992797157,-30.0
59,54.53933544397108,-30.0
60,55.46373095997059,-30.0
61,56.388126475970104,-30.0
62,57.31252199196961,-30.0
63,58.236917507969125,-30.0
64,59.16131302396863,-30.0
65,60.08570853996814,-30.0
66,61.01010405596765,-30.0
67,61.93449957196716,-30.0
68,62.85889508796667,-30.0
69,63.78329060396618,-30.0
70,64.70768611996569,-30.0
71,65.6320816359652,-30.0
72,66.55647715196471,-30.0
73,67.48087266796422,-30.0
74,68.40526818396373,-30.0
75,69.32966369996323,-30.0
76,70.25405921596276,-30.0
77,71.17845473196226,-30.0
78,72.10285024796177,-30.0
79,73.02724576396128,-30.0
80,73.9516412799608,-30.0
81,74.8760367959603,-30.0
82,75.80043231195981,-30.0
83,76.72482782795932,-30.0
84,77.64922334395882,-30.0
85,78.57361885995834,-30.0
86,79.49801437595785,-30.0
87,80.42240989195736,-30.0
88,81.34680540795686,-30.0
89,82.27120092395637,-30.0
90,83.19559643995589,-30.0
91,84.1199919559554,-30.0
92,85.0443874719549,-30.0
93,85.96878298795441,-30.0
94,86.89317850395393,-30.0
95,87.81757401995344,-30.0
96,88.74196953595295,-30.0
97,89.66636505195245,-30.0
98,90.59076056795196,-30.0
99,91.51515608395148,-30.0
100,92.43955159995099,-30.0
101,93.3639471159505,-30.0
102,94.28834263195,-30.0
103,95.21273814794952,-30.0
104,96.13713366394903,-30.0
105,97.06152917994854,-30.0
106,97.98592469594804,-30.0
107,98.91032021194755,-30.0
108,99.83471572794707,-30.0
109,100.75911124394658,-30.0
110,101.68350675994608,-30.0
111,102.60790227594559,-30.0
112,103.5322977919451,-30.0
113,104.45669330794462,-30.0
114,105.38108882394413,-30.0
115,106.30548433994363,-30.0
116,107.22987985594314,-30.0
117,108.15427537194266,-30.0
118,109.07867088794217,-30.0
119,110.00306640394167,-30.0
120,110.92746191994118,-30.0
121,111.85185743594069,-30.0
122,112.77625295194021,-30.0
123,113.70064846793971,-30.0
124,114.62504398393922,-30.0
125,115.54943949993873,-30.0
126,116.47383501593825,-30.0
127,117.39823053193776,-30.0
128,118.32262604793726,-30.0
129,119.24702156393677,-30.0
130,120.17141707993628,-30.0
131,121.0958125959358,-30.0
132,122.0202081119353,-30.0
133,122.94460362793481,-30.0
134,123.86899914393432,-30.0
135,124.79339465993384,-30.0
136,125.71779017593335,-30.0
137,126.64218569193285,-30.0
138,127.56658120793236,-30.0
139,128.49097672393188,-30.0
140,129.41537223993137,-30.0
141,130.3397677559309,-30.0
142,131.2641632719304,-30.0
143,132.1885587879299,-30.0
144,133.11295430392943,-30.0
145,134.03734981992892,-30.0
146,134.96174533592844,-30.0
147,135.88614085192796,-30.0
148,136.81053636792745,-30.0
149,137.73493188392698,-30.0
