ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4
-0.44475000000000003,-30.44475,-0.44475000000000003,-29.55525,0.44475000000000003,-29.55525,0.44475000000000003,-30.44475
0.47964551599950983,-30.44475,0.47964551599950983,-29.55525,1.3691455159995098,-29.55525,1.3691455159995098,-30.44475
1.4040410319990198,-30.44475,1.4040410319990198,-29.55525,2.2935410319990197,-29.55525,2.2935410319990197,-30.44475
2.3284365479985296,-30.44475,2.3284365479985296,-29.55525,3.2179365479985296,-29.55525,3.2179365479985296,-30.44475
3.2528320639980395,-30.44475,3.2528320639980395,-29.55525,4.142332063998039,-29.55525,4.142332063998039,-30.44475
4.17722757999755,-30.44475,4.17722757999755,-29.55525,5.06672757999755,-29.55525,5.06672757999755,-30.44475
5.101623095997059,-30.44475,5.101623095997059,-29.55525,5.991123095997059,-29.55525,5.991123095997059,-30.44475
6.026018611996569,-30.44475,6.026018611996569,-29.55525,6.915518611996569,-29.55525,6.915518611996569,-30.44475
6.950414127996079,-30.44475,6.950414127996079,-29.55525,7.839914127996079,-29.55525,7.839914127996079,-30.44475
7.874809643995589,-30.44475,7.874809643995589,-29.55525,8.76430964399559,-29.55525,8.76430964399559,-30.44475
8.799205159995099,-30.44475,8.799205159995099,-29.55525,9.6887051599951,-29.55525,9.6887051599951,-30.44475
9.723600675994607,-30.44475,9.723600675994607,-29.55525,10.613100675994609,-29.55525,10.613100675994609,-30.44475
10.647996191994118,-30.44475,10.647996191994118,-29.55525,11.53749619199412,-29.55525,11.53749619199412,-30.44475
11.572391707993628,-30.44475,11.572391707993628,-29.55525,12.46189170799363,-29.55525,12.46189170799363,-30.44475
12.496787223993136,-30.44475,12.496787223993136,-29.55525,13.386287223993138,-29.55525,13.386287223993138,-30.44475
13.421182739992647,-30.44475,13.421182739992647,-29.55525,14.310682739992648,-29.55525,14.310682739992648,-30.44475
14.345578255992157,-30.44475,14.345578255992157,-29.55525,15.235078255992159,-29.55525,15.235078255992159,-30.44475
15.269973771991667,-30.44475,15.269973771991667,-29.55525,16.159473771991667,-29.55525,16.159473771991667,-30.44475
16.19436928799118,-30.44475,16.19436928799118,-29.55525,17.083869287991178,-29.55525,17.083869287991178,-30.44475
17.11876480399069,-30.44475,17.11876480399069,-29.55525,18.008264803990688,-29.55525,18.008264803990688,-30.44475
18.0431603199902,-30.44475,18.0431603199902,-29.55525,18.932660319990198,-29.55525,18.932660319990198,-30.44475
18.967555835989707,-30.44475,18.967555835989707,-29.55525,19.857055835989705,-29.55525,19.857055835989705,-30.44475
19.891951351989217,-30.44475,19.891951351989217,-29.55525,20.781451351989215,-29.55525,20.781451351989215,-30.44475
20.816346867988727,-30.44475,20.816346867988727,-29.55525,21.705846867988726,-29.55525,21.705846867988726,-30.44475
21.740742383988238,-30.44475,21.740742383988238,-29.55525,22.630242383988236,-29.55525,22.630242383988236,-30.44475
22.665137899987748,-30.44475,22.665137899987748,-29.55525,23.554637899987746,-29.55525,23.554637899987746,-30.44475
23.58953341598726,-30.44475,23.58953341598726,-29.55525,24.479033415987256,-29.55525,24.479033415987256,-30.44475
24.51392893198677,-30.44475,24.51392893198677,-29.55525,25.403428931986767,-29.55525,25.403428931986767,-30.44475
25.438324447986275,-30.44475,25.438324447986275,-29.55525,26.327824447986274,-29.55525,26.327824447986274,-30.44475
26.362719963985786,-30.44475,26.362719963985786,-29.55525,27.252219963985784,-29.55525,27.252219963985784,-30.44475
27.287115479985296,-30.44475,27.287115479985296,-29.55525,28.176615479985294,-29.55525,28.176615479985294,-30.44475
28.211510995984806,-30.44475,28.211510995984806,-29.55525,29.101010995984804,-29.55525,29.101010995984804,-30.44475
29.135906511984317,-30.44475,29.135906511984317,-29.55525,30.025406511984315,-29.55525,30.025406511984315,-30.44475
30.060302027983827,-30.44475,30.060302027983827,-29.55525,30.949802027983825,-29.55525,30.949802027983825,-30.44475
30.984697543983337,-30.44475,30.984697543983337,-29.55525,31.874197543983335,-29.55525,31.874197543983335,-30.44475
31.909093059982844,-30.44475,31.909093059982844,-29.55525,32.79859305998284,-29.55525,32.79859305998284,-30.44475
32.83348857598236,-30.44475,32.83348857598236,-29.55525,33.722988575982356,-29.55525,33.722988575982356,-30.44475
33.757884091981865,-30.44475,33.757884091981865,-29.55525,34.64738409198186,-29.55525,34.64738409198186,-30.44475
34.68227960798138,-30.44475,34.68227960798138,-29.55525,35.57177960798138,-29.55525,35.57177960798138,-30.44475
35.606675123980885,-30.44475,35.606675123980885,-29.55525,36.49617512398088,-29.55525,36.49617512398088,-30.44475
36.5310706399804,-30.44475,36.5310706399804,-29.55525,37.4205706399804,-29.55525,37.4205706399804,-30.44475
37.455466155979906,-30.44475,37.455466155979906,-29.55525,38.344966155979904,-29.55525,38.344966155979904,-30.44475
38.37986167197941,-30.44475,38.37986167197941,-29.55525,39.26936167197941,-29.55525,39.26936167197941,-30.44475
39.304257187978926,-30.44475,39.304257187978926,-29.55525,40.193757187978925,-29.55525,40.193757187978925,-30.44475
40.22865270397843,-30.44475,40.22865270397843,-29.55525,41.11815270397843,-29.55525,41.11815270397843,-30.44475
41.15304821997795,-30.44475,41.15304821997795,-29.55525,42.042548219977945,-29.55525,42.042548219977945,-30.44475
42.077443735977454,-30.44475,42.077443735977454,-29.55525,42.96694373597745,-29.55525,42.96694373597745,-30.44475
43.00183925197697,-30.44475,43.00183925197697,-29.55525,43.891339251976966,-29.55525,43.891339251976966,-30.44475
43.926234767976474,-30.44475,43.926234767976474,-29.55525,44.81573476797647,-29.55525,44.81573476797647,-30.44475
