#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
1814,94.839,-9.574,95.850,-8.573,95.856,-10.573,93.822,-10.573,93.828,-8.573,47,2.210,43,0.5,S230518h,1814,2.210
8271,112.258,-60.000,114.199,-58.985,114.320,-60.984,110.196,-60.984,110.317,-58.985,236,2.206,44,0.5,S230518h,8271,2.206
6259,90.000,-86.000,101.323,-84.901,108.443,-86.838,71.557,-86.838,78.677,-84.901,219,2.205,45,0.5,S230518h,6259,2.205
6229,310.345,-82.000,316.711,-80.945,318.495,-82.929,302.195,-82.929,303.979,-80.945,108,2.187,46,0.5,S230518h,6229,2.187
1815,96.774,-9.574,97.785,-8.573,97.791,-10.573,95.757,-10.573,95.763,-8.573,38,2.180,47,0.5,S230518h,1815,2.180
6096,114.894,-76.000,118.751,-74.967,119.330,-76.962,110.457,-76.962,111.036,-74.967,188,2.172,48,0.5,S230518h,6096,2.172
3306,84.706,5.745,85.713,6.744,85.709,4.744,83.703,4.744,83.699,6.744,48,2.147,49,0.5,S230518h,3306,2.147
1445,94.426,-13.404,95.450,-12.402,95.459,-14.402,93.394,-14.402,93.402,-12.402,60,2.099,50,0.5,S230518h,1445,2.099
3676,79.355,9.574,80.372,10.573,80.366,8.573,78.344,8.573,78.338,10.573,64,2.077,51,0.5,S230518h,3676,2.077
8073,117.692,-56.000,119.435,-54.987,119.528,-56.987,115.857,-56.987,115.950,-54.987,352,2.047,52,0.5,S230518h,8073,2.047
2931,84.255,1.915,85.256,2.915,85.255,0.915,83.255,0.915,83.254,2.915,134,2.019,53,0.5,S230518h,2931,2.019
6279,288.000,-88.000,306.441,-86.838,333.004,-88.586,242.996,-88.586,269.559,-86.838,457,1.999,54,0.5,S230518h,6279,1.999
47,101.928,-28.723,103.057,-27.719,103.079,-29.719,100.776,-29.719,100.798,-27.719,382,1.989,55,0.5,S230518h,47,1.989
7080,108.000,-40.000,109.286,-38.993,109.325,-40.993,106.675,-40.993,106.714,-38.993,342,1.985,56,0.5,S230518h,7080,1.985
3119,84.706,3.830,85.709,4.829,85.707,2.829,83.705,2.829,83.702,4.829,78,1.970,57,0.9,S230518h,3119,1.970
7851,110.526,-52.000,112.115,-50.989,112.187,-52.989,108.865,-52.989,108.938,-50.989,330,1.945,58,0.9,S230518h,7851,1.945
7612,111.220,-48.000,112.685,-46.990,112.743,-48.990,109.696,-48.990,109.754,-46.990,275,1.906,59,0.9,S230518h,7612,1.906
3303,78.930,5.745,79.937,6.744,79.934,4.744,77.927,4.744,77.924,6.744,307,1.897,60,0.9,S230518h,3303,1.897
6181,123.429,-80.000,128.655,-78.955,129.794,-80.945,117.063,-80.945,118.203,-78.955,214,1.894,61,0.9,S230518h,6181,1.894
7964,112.294,-54.000,113.955,-52.988,114.036,-54.988,110.551,-54.988,110.632,-52.988,329,1.889,62,0.9,S230518h,7964,1.889
7354,109.091,-44.000,110.458,-42.992,110.505,-44.991,107.677,-44.991,107.724,-42.992,454,1.885,63,0.9,S230518h,7354,1.885
5857,121.690,-68.000,124.248,-66.979,124.478,-68.977,118.902,-68.977,119.133,-66.979,264,1.857,64,0.9,S230518h,5857,1.857
7220,111.176,-42.000,112.501,-40.992,112.543,-42.992,109.809,-42.992,109.852,-40.992,363,1.827,65,0.9,S230518h,7220,1.827
6214,124.138,-82.000,130.504,-80.945,132.288,-82.929,115.988,-82.929,117.772,-80.945,113,1.794,66,0.9,S230518h,6214,1.794
6142,122.927,-78.000,127.363,-76.962,128.153,-78.955,117.701,-78.955,118.491,-76.962,304,1.792,67,0.9,S230518h,6142,1.792
8174,112.727,-58.000,114.563,-56.986,114.668,-58.986,110.787,-58.986,110.892,-56.986,301,1.740,68,0.9,S230518h,8174,1.740
6045,115.472,-74.000,118.888,-72.971,119.329,-74.968,111.614,-74.968,112.056,-72.971,169,1.737,69,0.9,S230518h,6045,1.737
6269,315.000,-86.000,326.323,-84.901,333.443,-86.838,296.557,-86.838,303.677,-84.901,189,1.730,70,0.9,S230518h,6269,1.730
