#id,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,n_hostgalaxy,prob_vol_x_stmass,rank,confidence,obj,note,weight
2840,60.000,25.714,61.507,27.049,61.473,24.364,58.527,24.364,58.493,27.049,191,0.751,45,0.9,S230518h,2840,0.751
285,97.674,-23.143,99.120,-21.794,99.149,-24.479,96.200,-24.479,96.229,-21.794,357,0.716,46,0.9,S230518h,285,0.716
37,107.419,-28.286,108.925,-26.935,108.963,-29.620,105.875,-29.620,105.914,-26.935,142,0.704,47,0.9,S230518h,37,0.704
2841,62.857,25.714,64.364,27.049,64.331,24.364,61.384,24.364,61.350,27.049,96,0.693,48,0.9,S230518h,2841,0.693
548,102.857,-18.000,104.258,-16.652,104.280,-19.337,101.435,-19.337,101.456,-16.652,35,0.681,49,0.9,S230518h,548,0.681
1315,331.304,-5.143,332.649,-3.799,332.655,-6.484,329.954,-6.484,329.959,-3.799,344,0.672,50,0.9,S230518h,1315,0.672
1222,88.696,-5.143,90.041,-3.799,90.046,-6.484,87.345,-6.484,87.351,-3.799,41,0.652,51,0.9,S230518h,1222,0.652
2320,75.224,15.429,76.626,16.767,76.608,14.082,73.840,14.082,73.822,16.767,38,0.645,52,0.9,S230518h,2320,0.645
414,96.183,-20.571,97.605,-19.223,97.630,-21.908,94.737,-21.908,94.762,-19.223,285,0.635,53,0.95,S230518h,414,0.635
2713,64.186,23.143,65.661,24.479,65.632,21.794,62.741,21.794,62.711,24.479,47,0.561,54,0.95,S230518h,2713,0.561
1500,90.647,0.000,91.990,1.343,91.990,-1.343,89.305,-1.343,89.305,1.343,30,0.550,55,0.95,S230518h,1500,0.550
2186,79.412,12.857,80.796,14.196,80.781,11.511,78.042,11.511,78.027,14.196,41,0.549,56,0.95,S230518h,2186,0.549
1362,93.237,-2.571,94.580,-1.228,94.583,-3.913,91.892,-3.913,91.895,-1.228,27,0.505,57,0.95,S230518h,1362,0.505
2451,67.669,18.000,69.092,19.337,69.070,16.652,66.268,16.652,66.247,19.337,53,0.474,58,0.95,S230518h,2451,0.474
1497,82.878,0.000,84.220,1.343,84.220,-1.343,81.535,-1.343,81.535,1.343,118,0.458,59,0.95,S230518h,1497,0.458
2712,61.395,23.143,62.870,24.479,62.841,21.794,59.950,21.794,59.921,24.479,90,0.437,60,0.95,S230518h,2712,0.437
545,94.737,-18.000,96.138,-16.652,96.159,-19.337,93.314,-19.337,93.336,-16.652,229,0.428,61,0.95,S230518h,545,0.428
2452,70.376,18.000,71.798,19.337,71.777,16.652,68.975,16.652,68.954,19.337,32,0.396,62,0.95,S230518h,2452,0.396
2321,77.910,15.429,79.312,16.767,79.294,14.082,76.527,14.082,76.509,16.767,37,0.393,63,0.95,S230518h,2321,0.393
2839,57.143,25.714,58.650,27.049,58.616,24.364,55.669,24.364,55.636,27.049,239,0.379,64,0.95,S230518h,2839,0.379
2453,73.083,18.000,74.505,19.337,74.484,16.652,71.682,16.652,71.660,19.337,27,0.363,65,0.95,S230518h,2453,0.363
2964,55.161,28.286,56.705,29.620,56.667,26.935,53.656,26.935,53.617,29.620,192,0.362,66,0.95,S230518h,2964,0.362
1177,331.304,-7.714,332.655,-6.370,332.663,-9.055,329.945,-9.055,329.954,-6.370,154,0.347,67,0.95,S230518h,1177,0.347
2965,58.065,28.286,59.608,29.620,59.570,26.935,56.559,26.935,56.521,29.620,218,0.344,68,0.95,S230518h,2965,0.344
1454,331.511,-2.571,332.853,-1.228,332.856,-3.913,330.166,-3.913,330.168,-1.228,224,0.335,69,0.99,S230518h,1454,0.335
